filename,category,size_mb
Hydrogen_white-paper_Jan-23-v8.pdf,whitepapers,9.81
FCC-WHITEPAPER-web-locked.pdf,whitepapers,1.59
RISE-Whitepaper_2025_11_11.pdf,whitepapers,4.0
A-laser-focus-on-materials_white-paper_Jan-25.pdf,whitepapers,9.95
unlock-business-potential-move-from-on-prem-to-ai-powered-cloud-data-management_white-paper_5080en.pdf,whitepapers,6.7
2C-025.26_Agri-Whitepaper-websecure-compressed.pdf,whitepapers,2.33
Patient-centric-whitepaper-Capgemini.pdf,whitepapers,4.14
MuleSoft-SAP-S4HANA-White-Paper.pdf,whitepapers,2.23
Capgemini_TechnoVision2026.pdf,support_guides,12.3
BSH-client-story-case-study.pdf,support_guides,0.46
EDF-client-story-case-study.pdf,support_guides,1.78
Core-Modernization-Cloud-Journey.pdf,support_guides,2.34
05_14_Capgemini-Press-Release_Bae-Systems-1.pdf,support_guides,0.15
Invoicing-Guide-Capgemini-Polska-Sp-z-oo.pdf,support_guides,0.34
Nortura-Nora-chatbot-client-story-case-study.pdf,support_guides,0.62
Employee-Experience-Support-brochure-20221019.pdf,support_guides,1.27
2024_05_28_WindTre_b6dce7.pdf,support_guides,0.17
RTP-case-study.pdf,support_guides,1.34
TECHNOVISION-AD-2025-web-locked-June-17.pdf,support_guides,7.1
Red-Cross-Norway-client-story-case-study.pdf,support_guides,0.18
Fresenius-client-story-case-study.pdf,support_guides,0.65
BAW-client-story-case-study.pdf,support_guides,0.42
Security-Bank-Corporation-client-story-case-study.pdf,support_guides,1.28
D38710-2023-Quantum-Projects-ODS-Support-October-2023-v3.pdf,support_guides,2.76
Legal-AI-a-beginners-guide-web.pdf,support_guides,0.0
Capgemini-CBE_2022_Chinese-v3.3.pdf,policies,2.54
210216_GACP_v3_Japanese.pdf,policies,0.79
Capgemini_SpeakUpPolicy_Portugese.pdf,policies,0.24
14001-EMS-667977-Controlled-List-of-certified-site-addresses.pdf,policies,0.33
260505-Accessibility-Policy-External-Page.pdf,policies,0.18
Whistle-Blower-Policy.pdf,policies,0.0
Capgemini_Code_of_Ethics_for_AI_EN_2024.pdf,policies,0.47
2020-Modern-Slavery-Transparency-Statement.pdf,policies,0.9
Capgemini-Group_Conflict_of_Interest_Policy-2026-FR-Brochure-V2.3.pdf,policies,0.31
Capgemini-Group_Conflict_of_Interest_Policy-2024-IT-Brochure-V2.2.pdf,policies,0.42
2021-Modern-Slavery-Transparency-Statement.pdf,policies,2.37
210225_GACP_v3_Arabic__Final_.pdf,policies,0.71
07-Capgemini_GCLP_V1_Polish_HD.pdf,policies,39.72
CG-BCR-C-Public-version-Apr.-2025.pdf,policies,2.19
Capgemini_SpeakUpPolicy_English.pdf,policies,0.23
Capgemini-Human-Rights-Policy_2022-11_German-VF.pdf,policies,1.64
Capgemini-Group_Conflict_of_Interest_Policy-2026-ES-Brochure-V2.3.pdf,policies,0.31
231110_SpeakUpPolicy_Spain_EN.pdf,policies,0.37
CGUKDataController_publicversion-2025.pdf,policies,0.7
20231130-Word-Template_ERP.pdf,policies,0.33
211228_GACP_v3_Dutch_.pdf,policies,0.64
Anti-Tax-Evasion-Policy.pdf,policies,0.27
Capgemini_Code_of_Ethics_for_AI_2021_EN.pdf,policies,0.49
Leading-APAC-insurer-client-story-case-study.pdf,policies,3.41
210713_GACP_v3_Polish.pdf,policies,0.75
Capgemini-CBE_2022_Polish-v3.3.pdf,policies,2.21
Capgemini-Group_Conflict_of_Interest_Policy-2026-DE-Brochure-V2.3.pdf,policies,0.34
Capgemini_SpeakUpPolicy_Danish.pdf,policies,0.25
Capgemini_SpeakUpPolicy_German-1.pdf,policies,0.26
23343_un_policypaper_understandingafrica_v06.pdf,policies,0.0
45001-OHS-733295-Controlled-List.pdf,policies,0.08
Capgemini_SpeakUpPolicy_Vietnamese.pdf,policies,0.33
Branding_Podcast-Transcript_CR100-Intelligence-age-ethics-in-2025-with-James-Wilson-and-Philip-Harker-AAA.pdf,policies,0.32
210212_GACP_v3_German.pdf,policies,0.45
CG-UK-BCR-P-Public-Version2025.pdf,policies,0.68
Capgemini-Human-Rights-Policy_2022-11_Chinese-VF.pdf,policies,1.79
6_-_Group_Competition_Laws_Policy_-_EN.pdf,policies,25.58
Capgemini-Human-Rights-Policy_2025-04_Romanian-v1-LD.pdf,policies,1.76
Capgemini-CBE_2023_Japanese-v3.4.pdf,policies,2.73
210224_GACP_v3_Portuguese__Final_.pdf,policies,0.53
Group-CSR-Inclusion-policy_V3_2025.pdf,policies,1.99
Capgemini_SpeakUpPolicy_Arabic.pdf,policies,0.42
Capgemini_SpeakUpPolicy_Italian.pdf,policies,0.23
Capgemini_SpeakUpPolicy_EuropeanSpanish.pdf,policies,0.24
Capgemini_SpeakUpPolicy_Dutch.pdf,policies,0.23
Capgemini-CBE_2022_Brazilian-v3.3.pdf,policies,2.22
210216_GACP_v3_Russian.pdf,policies,0.55
210212_GACP_v3_French.pdf,policies,0.53
Capgemini-Human-Rights-Policy_2022-11_Portugese-VF.pdf,policies,1.63
2025-Capgemini-ESG-Policy.pdf,policies,8.13
01-021.26_Documents-Data-Protection-Policy.pdf,policies,0.24
20241202-Group-HS-Policy.pdf,policies,0.37
Capgemini_SpeakUpPolicy_Japanese.pdf,policies,0.75
ENMS-659644-001.pdf,policies,1.05
210218_GACP_v3_Simplified_Chinese.pdf,policies,1.33
Nomination_and_Remuneration_Policy.pdf,policies,0.28
Capgemini-Group_Conflict_of_Interest_Policy-2026-RU-Brochure-V2.3.pdf,policies,0.31
Tranparency-Statement-with-Signature-Latest-9-7-18.pdf,policies,0.81
Supplier-Standards-of-Conduct-_-English-version-_-26042024.pdf,policies,1.02
EMS-667977-001.pdf,policies,1.07
Capgemini-Human-Rights-Policy_2023-02_French-VF.pdf,policies,1.67
Policy-Group-Environmental-Policy-March-2026.pdf,policies,0.06
04-Capgemini_GCLP_German_HD_1.1.pdf,policies,37.63
ESG-policy2021.pdf,policies,5.61
Policy-Group-Energy-Policy-March-2026.pdf,policies,0.08
2019-Modern-Slavery-Transparency-Statement-.pdf,policies,0.89
Capgemini_SpeakUpPolicy_Spanish.pdf,policies,0.24
Capgemini_SpeakUpPolicy__French-1.pdf,policies,0.25
50001-ENMS-659644-Controlled-List-of-certified-site-addresses-.pdf,policies,0.15
Capgemini-Human-Rights-Policy_2022-11_Japanese-VF.pdf,policies,1.81
